object_id,title,agency,kind,sozd_bill,regulation_project,regulation_npa_id,pravo_eo,pp_number,fz_number,news_count,n_events,event_types,first_date,last_date,last_stage,last_event,links
npa_09b1779fd5,Александр Новак принял участие в Восточном экономическом форуме,—,,,,,,,,1,1,announcement,3 сентября 2026,3 сентября 2026,Александр Новак принял участие в Восточном экономическом форуме,Александр Новак принял участие в Восточном экономическом форуме,http://government.ru/news/59774/
npa_sozd_bill_1271570-8,О поддержке развития технологий искусственного интеллекта в Российской Федерации,"Комитет Государственной Думы по информационной политике, информационным технологиям и связи",,1271570-8,,,,,,1,20,stage | introduced | published,03.07.2026 10:00:00,26.07.2026 23:59:59,8.2 Опубликование закона,8.2 Опубликование закона,https://sozd.duma.gov.ru/bill/1271570-8#1f189bf3-41bb-6596-86b1-451a900506e4 | https://sozd.duma.gov.ru/bill/1271570-8#1f189a0d-7274-6260-87b8-0f20bbaf1994 | https://sozd.duma.gov.ru/bill/1271570-8#1f184073-ddfe-6b5a-b09c-9992fc8acd95 | https://sozd.duma.gov.ru/bill/1271570-8#1f181a76-fe08-64c8-b0ad-e571f44ac064 | https://sozd.duma.gov.ru/bill/1271570-8#1f180336-4564-6c8e-b755-6902defd6768 | https://sozd.duma.gov.ru/bill/1271570-8#1f180336-420d-6612-93f4-6902defd6768 | https://sozd.duma.gov.ru/bill/1271570-8#1f17ac15-995c-60c6-a3d4-6d1fab2093f4 | https://sozd.duma.gov.ru/bill/1271570-8#1f17abe5-d59d-66e6-a41f-fd393967cc74 | https://sozd.duma.gov.ru/download/1f17a9c9-37e6-60ce-b1da-b5573dfed1ec | https://sozd.duma.gov.ru/download/1f17a9c9-2d80-6936-8592-b5573dfed1ec | https://sozd.duma.gov.ru/download/1f17a9c9-29d0-61ec-940d-b5573dfed1ec | https://sozd.duma.gov.ru/bill/1271570-8#1f17a9a5-4358-66b0-b9ff-e168e5a82e0c | https://sozd.duma.gov.ru/bill/1271570-8#1f17a044-3ecf-64e6-9aaf-1da2a8cbe8bb | https://sozd.duma.gov.ru/bill/1271570-8#1f17a043-8ed6-679c-b916-3bd86821f002 | https://sozd.duma.gov.ru/bill/1271570-8#1f179c36-25e6-6cfc-8412-0b9aba64c49e | https://sozd.duma.gov.ru/bill/1271570-8#1f176efe-889e-6b2a-8a39-034677b3b6cc | https://sozd.duma.gov.ru/bill/1271570-8#1f170adc-686f-6844-ba90-2508dbd34f1b | https://sozd.duma.gov.ru/bill/1271570-8#1f170a2b-eb4e-660e-94f7-4f4fb01d3545 | https://sozd.duma.gov.ru/bill/1271570-8#1f1709ed-ffa2-68c8-a2c7-2190866304b8 | https://sozd.duma.gov.ru/bill/1271570-8#1f170967-e15c-6444-a6ab-5905f515b399
npa_sozd_bill_1297057-8,Проект постановления №1297057-8 О внесении изменений в Регламент Государственной Думы Федерального Собрания Российской Федерации,—,,1297057-8,,,,,,2,8,introduced | stage,06.07.2026 15:53:09,23.07.2026 17:23:00,2.3 Рассмотрение проекта постановления Государственной Думой,2.3 Рассмотрение проекта постановления Государственной Думой,https://sozd.duma.gov.ru/bill/1297057-8#1f186a22-ea24-6a8c-bf5d-47020559d232 | https://sozd.duma.gov.ru/bill/1297057-8#1f185e9d-447e-6f5a-8f78-4fb0f03b5c85 | https://sozd.duma.gov.ru/bill/1297057-8#1f185e77-d418-6196-a699-85f85c29f72b | https://sozd.duma.gov.ru/bill/1297057-8#1f185e59-3064-6f9a-b14e-9705bf0b761a | https://sozd.duma.gov.ru/bill/1281480-8#1f17a10d-4b3b-608a-9cae-95dcb09fc211 | https://sozd.duma.gov.ru/bill/1281480-8#1f179c53-1bbf-6658-986f-0b9aba64c49e | https://sozd.duma.gov.ru/bill/1281480-8#1f179428-f372-66f0-81df-a58d7de180f7 | https://sozd.duma.gov.ru/bill/1281480-8#1f17939a-413d-6a04-a186-35d2232db76c
npa_sozd_bill_1290437-8,Проект постановления №1290437-8 О внесении изменения в статью 23 Регламента Государственной Думы Федерального Собрания Российской Федерации,—,,1290437-8,,,,,,1,4,introduced | stage,15.07.2026 15:47:08,21.07.2026 17:16:00,2.3 Рассмотрение проекта постановления Государственной Думой,2.3 Рассмотрение проекта постановления Государственной Думой,https://sozd.duma.gov.ru/bill/1290437-8#1f1850ef-b916-6afe-9cf6-63d642ded9e1 | https://sozd.duma.gov.ru/bill/1290437-8#1f184e43-51ff-60d6-9cb6-a79b077a7726 | https://sozd.duma.gov.ru/bill/1290437-8#1f18051f-1db5-6978-b47f-270617e43e35 | https://sozd.duma.gov.ru/bill/1290437-8#1f1804b4-a9e6-60b6-b0d2-b586ec2de6c7
npa_sozd_bill_1291789-8,Проект постановления №1291789-8 О реализации Стратегии пространственного развития Российской Федерации в части развития сельских территорий,—,,1291789-8,,,,,,1,5,introduced | stage | revision,16.07.2026 17:40:08,21.07.2026 17:15:00,2.3 Рассмотрение проекта постановления Государственной Думой,2.3 Рассмотрение проекта постановления Государственной Думой,https://sozd.duma.gov.ru/bill/1291789-8#1f1850ea-6307-6fbe-9871-77e92e79bcce | https://sozd.duma.gov.ru/bill/1291789-8#1f184da0-ca78-6718-b77a-d55101351a82 | https://sozd.duma.gov.ru/bill/1291789-8#1f184e43-2dc6-6ff2-9072-a79b077a7726 | https://sozd.duma.gov.ru/bill/1291789-8#1f184db5-ade8-6ef8-ad64-190b468cb993 | https://sozd.duma.gov.ru/bill/1291789-8#1f181243-eb1e-6fdc-b4b7-d1fec9ebdf01
npa_regulation_project_170835,О внесении изменений в некоторые акты Правительства Российской Федерации,Минтранс России,,,170835,,,,,1,2,draft | discussion,2026-09-04T09:55:27.29Z,2026-10-02T09:55:27.3Z,Текст,Публичное обсуждение: О внесении изменений в некоторые акты Правительства Российской Федерации,https://regulation.gov.ru/projects/170835/
npa_regulation_project_170819,"План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах, в том числе в нормативных правовых актах, в отношении которых не установлен срок действия, по сферам общественных отношений, в которых Министерством финансов Российской Федерации реализуются его полномочия, на 2027 год",Минфин России,,,170819,,,,,1,2,draft | discussion,2026-09-03T17:50:27.657Z,2026-10-01T17:50:27.668Z,Текст,"Публичное обсуждение: План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах, в том числе в нормативных правовых актах, в отношении которых не установлен срок действия, по сферам общественных отношений, в которых Министерством финансов Российской Федерации реализуются его полномочия, на 2027 год",https://regulation.gov.ru/projects/170819/
npa_regulation_project_170803,"План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах по сферам общественных отношений, в которых федеральным органом исполнительной власти, осуществляющим нормативно-правовое регулирование в соответствующей сфере общественных отношений, реализуются его полномочия, на 2027 год",МЧС России,,,170803,,,,,2,4,draft | discussion,2026-09-03T13:26:37.195Z,2026-10-01T13:39:39.605Z,Текст,"Публичное обсуждение: План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах по сферам общественных отношений, в которых федеральным органом исполнительной власти, осуществляющим нормативно-правовое регулирование в соответствующей сфере общественных отношений, реализуются его полномочия, на 2027 год",https://regulation.gov.ru/projects/170803/ | https://regulation.gov.ru/projects/170802/
npa_regulation_project_170771,"План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах по сферам общественных отношений, в которых федеральным органом исполнительной власти, осуществляющим нормативно-правовое регулирование 
в соответствующей сфере общественных отношений,  реализуются его полномочия, на 2027 год",Минпромторг России,,,170771,,,,,1,2,draft | discussion,2026-09-02T15:03:36.656Z,2026-09-30T15:03:36.666Z,Текст,"Публичное обсуждение: План проведения оценки применения обязательных требований, содержащихся в нормативных правовых актах по сферам общественных отношений, в которых федеральным органом исполнительной власти, осуществляющим нормативно-правовое регулирование 
в соответствующей сфере общественных отношений,  реализуются его полномочия, на 2027 год",https://regulation.gov.ru/projects/170771/
npa_regulation_project_170744,"О достижении целей введения обязательных требований в сфере уровня профессиональных и квалификационных требований, предъявляемых к работникам автомобильного транспорта",Минтранс России,,,170744,,,,,1,2,draft | discussion,2026-09-01T14:44:11.019Z,2026-09-29T15:10:55.847Z,Текст,"Публичное обсуждение: О достижении целей введения обязательных требований в сфере уровня профессиональных и квалификационных требований, предъявляемых к работникам автомобильного транспорта",https://regulation.gov.ru/projects/170744/
npa_regulation_project_170715,"Об утверждении Порядка ведения реестра медицинских организаций, уполномоченных на проведение медицинского освидетельствования иностранных граждан или лиц без гражданства на наличие или отсутствие факта употребления наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ, инфекционных заболеваний, представляющих опасность для окружающих, предусмотренных перечнем инфекционных заболеваний, представляющих опасность для окружающих, и заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции), и находящихся на территории Российской Федерации",Минздрав России,,,170715,,,,,1,2,draft | discussion,2026-08-31T18:39:39.496Z,2026-09-28T18:39:39.509Z,Текст,"Публичное обсуждение: Об утверждении Порядка ведения реестра медицинских организаций, уполномоченных на проведение медицинского освидетельствования иностранных граждан или лиц без гражданства на наличие или отсутствие факта употребления наркотических средств или психотропных веществ без назначения врача либо новых потенциально опасных психоактивных веществ, инфекционных заболеваний, представляющих опасность для окружающих, предусмотренных перечнем инфекционных заболеваний, представляющих опасность для окружающих, и заболевания, вызываемого вирусом иммунодефицита человека (ВИЧ-инфекции), и находящихся на территории Российской Федерации",https://regulation.gov.ru/projects/170715/
npa_regulation_project_170667,"Об утверждении требований к сертификатам безопасности национального удостоверяющего центра, порядку создания, выдачи, использования и прекращения действия таких сертификатов",Минцифры России,,,170667,,,,,1,2,draft | discussion,2026-08-28T16:00:19.715Z,2026-09-25T16:00:19.724Z,Текст,"Публичное обсуждение: Об утверждении требований к сертификатам безопасности национального удостоверяющего центра, порядку создания, выдачи, использования и прекращения действия таких сертификатов",https://regulation.gov.ru/projects/170667/
npa_regulation_project_170653,Об утверждении типовых дополнительных профессиональных программ в области подготовки авиационного персонала гражданской авиации,Росавиация,,,170653,,,,,1,2,draft | discussion,2026-08-28T11:14:52.085Z,2026-09-25T11:14:52.096Z,Уведомление,Публичное обсуждение: Об утверждении типовых дополнительных профессиональных программ в области подготовки авиационного персонала гражданской авиации,https://regulation.gov.ru/projects/170653/
npa_regulation_project_170625,"Об утверждении требований к производственно-технической базе оператора технического осмотра и перечня документов в области стандартизации, соблюдение требований которых лицами, претендующими на получение аттестата аккредитации оператора технического осмотра, и операторами технического осмотра обеспечивает их соответствие требованиям аккредитации",Минтранс России,,,170625,,,,,1,2,draft | discussion,2026-08-27T12:04:05.264Z,2026-09-24T12:04:05.275Z,Текст,"Публичное обсуждение: Об утверждении требований к производственно-технической базе оператора технического осмотра и перечня документов в области стандартизации, соблюдение требований которых лицами, претендующими на получение аттестата аккредитации оператора технического осмотра, и операторами технического осмотра обеспечивает их соответствие требованиям аккредитации",https://regulation.gov.ru/projects/170625/
npa_regulation_project_170624,"""Об утверждении форм и правил заполнения диагностической карты, оформленной по результатам проведения технического осмотра транспортных средств""",Минтранс России,,,170624,,,,,1,2,draft | discussion,2026-08-26T16:31:20.483Z,2026-09-23T16:31:20.494Z,Текст,"Публичное обсуждение: ""Об утверждении форм и правил заполнения диагностической карты, оформленной по результатам проведения технического осмотра транспортных средств""",https://regulation.gov.ru/projects/170624/
npa_regulation_project_170621,"Об утверждении методики
расчета значения пропускной способности пункта технического осмотра и типового перечня технологических операций по проведению технического диагностирования различных
категорий транспортных средств и (или) видов городского
наземного электрического транспорта",Минтранс России,,,170621,,,,,1,2,draft | discussion,2026-08-26T15:36:36.03Z,2026-09-23T15:36:36.042Z,Текст,"Публичное обсуждение: Об утверждении методики
расчета значения пропускной способности пункта технического осмотра и типового перечня технологических операций по проведению технического диагностирования различных
категорий транспортных средств и (или) видов городского
наземного электрического транспорта",https://regulation.gov.ru/projects/170621/
npa_regulation_project_170770,"О внесении изменений в технический регламент Таможенного союза «О требованиях к смазочным материалам, маслам и специальным жидкостям» (ТР ТС 030/2012)",Минэнерго России,,,170770,,,,,1,2,draft | discussion,2026-09-02T14:48:52.339Z,2026-09-23T14:48:52.349Z,Текст,"Публичное обсуждение: О внесении изменений в технический регламент Таможенного союза «О требованиях к смазочным материалам, маслам и специальным жидкостям» (ТР ТС 030/2012)",https://regulation.gov.ru/projects/170770/
npa_regulation_project_170698,«Об утверждении порядка и условий предоставления уполномоченным организациям полномочий по оформлению электронных паспортов самоходных машин и других видов техники»,Минпромторг России,,,170698,,,,,1,2,draft | discussion,2026-09-02T11:25:42.833Z,2026-09-23T11:25:42.845Z,Текст,Публичное обсуждение: «Об утверждении порядка и условий предоставления уполномоченным организациям полномочий по оформлению электронных паспортов самоходных машин и других видов техники»,https://regulation.gov.ru/projects/170698/
npa_regulation_project_170865,"Об утверждении требований по защите от несанкционированного доступа к техническим средствам, техническим и программным средствам информационных систем, программно-техническим средствам, используемым при проведении уполномоченными органами, осуществляющими оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, в случаях, установленных федеральными законами, оперативно-разыскных мероприятий в целях реализации возложенных на них задач",Минцифры России,,,170865,,,,,1,2,draft | discussion,2026-09-04T18:41:40.14Z,2026-09-19T18:41:40.154Z,Текст,"Публичное обсуждение: Об утверждении требований по защите от несанкционированного доступа к техническим средствам, техническим и программным средствам информационных систем, программно-техническим средствам, используемым при проведении уполномоченными органами, осуществляющими оперативно-разыскную деятельность или обеспечение безопасности Российской Федерации, в случаях, установленных федеральными законами, оперативно-разыскных мероприятий в целях реализации возложенных на них задач",https://regulation.gov.ru/projects/170865/
npa_regulation_project_170858,"О внесении изменений в постановление Правительства 
Российской Федерации от 9 февраля 2022 г. № 140",Минздрав России,,,170858,,,,,1,2,draft | discussion,2026-09-04T18:29:28.121Z,2026-09-19T18:29:28.136Z,Текст,"Публичное обсуждение: О внесении изменений в постановление Правительства 
Российской Федерации от 9 февраля 2022 г. № 140",https://regulation.gov.ru/projects/170858/
npa_regulation_project_170864,"Об утверждении Порядка уведомления федеральными государственными гражаднскими служащими Федерального агентства по рыболовству и его территориальных органов, работниками,  замещающими отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, о возникновении личной заинтересованности при исполнении должностных обязанностей, которая приводит или может привести к конфликту интересов",Росрыболовство,,,170864,,,,,1,2,draft | discussion,2026-09-04T17:21:57.143Z,2026-09-19T17:21:57.159Z,Текст,"Публичное обсуждение: Об утверждении Порядка уведомления федеральными государственными гражаднскими служащими Федерального агентства по рыболовству и его территориальных органов, работниками,  замещающими отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, о возникновении личной заинтересованности при исполнении должностных обязанностей, которая приводит или может привести к конфликту интересов",https://regulation.gov.ru/projects/170864/
npa_regulation_project_170863,"Об утверждении Порядка уведомления работодателя о фактах обращения в целях склонения федеральных государственных гражданских служащих Федерального агентства по рыболовству и его территориальных органов, работников, замещающих отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, к совершению коррупционных правонарушений",Росрыболовство,,,170863,,,,,1,2,draft | discussion,2026-09-04T17:15:09.94Z,2026-09-19T17:15:09.954Z,Текст,"Публичное обсуждение: Об утверждении Порядка уведомления работодателя о фактах обращения в целях склонения федеральных государственных гражданских служащих Федерального агентства по рыболовству и его территориальных органов, работников, замещающих отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, к совершению коррупционных правонарушений",https://regulation.gov.ru/projects/170863/
npa_regulation_project_170862,"О распространении на работников, замещающих отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, ограничений, запретов и обязанностей, установленных для федеральных государственных гражданских служащих",Росрыболовство,,,170862,,,,,1,2,draft | discussion,2026-09-04T17:09:30.18Z,2026-09-19T17:09:30.193Z,Текст,"Публичное обсуждение: О распространении на работников, замещающих отдельные должности на основании трудового договора в организациях, создаваемых для выполнения задач, поставленных перед Федеральным агентством по рыболовству, ограничений, запретов и обязанностей, установленных для федеральных государственных гражданских служащих",https://regulation.gov.ru/projects/170862/
npa_regulation_project_170844,О внесении изменений в постановление Правительства Российской Федерации от 6 августа 2015 г. № 813,Минцифры России,,,170844,,,,,1,2,draft | discussion,2026-09-04T17:00:23.735Z,2026-09-19T17:00:23.749Z,Текст,Публичное обсуждение: О внесении изменений в постановление Правительства Российской Федерации от 6 августа 2015 г. № 813,https://regulation.gov.ru/projects/170844/
npa_regulation_project_170861,"О внесении изменений в пункт 3 приказа 
Министерства транспорта Российской Федерации 
от 21 августа 2020 г. № 318 «Об утверждении Порядка выдачи свидетельств о соответствии нормам, установленным Соглашением о международных перевозках скоропортящихся пищевых продуктов и о специальных транспортных средствах, предназначенных для этих перевозок, подписанным в г. Женеве 1 сентября 1970 г., для изотермических транспортных средств, транспортных средств-ледников, транспортных средств-рефрижераторов или отапливаемых транспортных средств»",Минтранс России,,,170861,,,,,1,2,draft | discussion,2026-09-04T16:50:34.062Z,2026-09-19T16:50:34.075Z,Текст,"Публичное обсуждение: О внесении изменений в пункт 3 приказа 
Министерства транспорта Российской Федерации 
от 21 августа 2020 г. № 318 «Об утверждении Порядка выдачи свидетельств о соответствии нормам, установленным Соглашением о международных перевозках скоропортящихся пищевых продуктов и о специальных транспортных средствах, предназначенных для этих перевозок, подписанным в г. Женеве 1 сентября 1970 г., для изотермических транспортных средств, транспортных средств-ледников, транспортных средств-рефрижераторов или отапливаемых транспортных средств»",https://regulation.gov.ru/projects/170861/
npa_regulation_project_170860,"О внесении изменений в приказы 
Министерства транспорта Российской Федерации 
от 30 июля 2020 г. № 277 и от 21 августа 2020 г. № 319",Минтранс России,,,170860,,,,,1,2,draft | discussion,2026-09-04T16:49:51.302Z,2026-09-19T16:49:51.313Z,Текст,"Публичное обсуждение: О внесении изменений в приказы 
Министерства транспорта Российской Федерации 
от 30 июля 2020 г. № 277 и от 21 августа 2020 г. № 319",https://regulation.gov.ru/projects/170860/
npa_regulation_project_170859,"О внесении изменений в пункт 2 приказа 
Министерства транспорта Российской Федерации 
от 30 июля 2020 г. № 265 «Об утверждении Порядка выдачи свидетельств о подготовке водителей автотранспортных средств, перевозящих опасные грузы, и утверждения курсов такой подготовки»",Минтранс России,,,170859,,,,,1,2,draft | discussion,2026-09-04T16:47:52.744Z,2026-09-19T16:47:52.761Z,Текст,"Публичное обсуждение: О внесении изменений в пункт 2 приказа 
Министерства транспорта Российской Федерации 
от 30 июля 2020 г. № 265 «Об утверждении Порядка выдачи свидетельств о подготовке водителей автотранспортных средств, перевозящих опасные грузы, и утверждения курсов такой подготовки»",https://regulation.gov.ru/projects/170859/
npa_regulation_project_170857,"Об утверждении Положения о Комиссии Министерства транспорта Российской Федерации по соблюдению требований к служебному поведению федеральных
государственных гражданских служащих и работников
организаций, создаваемых для выполнения задач, поставленных перед Министерством транспорта Российской Федерации, и урегулированию конфликта интересов",Минтранс России,,,170857,,,,,1,2,draft | discussion,2026-09-04T16:36:07.261Z,2026-09-19T16:36:07.278Z,Текст,"Публичное обсуждение: Об утверждении Положения о Комиссии Министерства транспорта Российской Федерации по соблюдению требований к служебному поведению федеральных
государственных гражданских служащих и работников
организаций, создаваемых для выполнения задач, поставленных перед Министерством транспорта Российской Федерации, и урегулированию конфликта интересов",https://regulation.gov.ru/projects/170857/
npa_regulation_project_170855,"О внесении изменений в пункт 2 приказа 
Министерства транспорта Российской Федерации 
от 28 июля 2020 г. № 257 Об утверждении Порядка проведения экзамена и выдачи свидетельств о профессиональной подготовке консультантов 
по вопросам безопасности перевозки опасных грузов автомобильным транспортом»",Минтранс России,,,170855,,,,,1,2,draft | discussion,2026-09-04T16:30:00.077Z,2026-09-19T16:30:00.092Z,Текст,"Публичное обсуждение: О внесении изменений в пункт 2 приказа 
Министерства транспорта Российской Федерации 
от 28 июля 2020 г. № 257 Об утверждении Порядка проведения экзамена и выдачи свидетельств о профессиональной подготовке консультантов 
по вопросам безопасности перевозки опасных грузов автомобильным транспортом»",https://regulation.gov.ru/projects/170855/
npa_regulation_project_170854,"Об утверждении стандарта медицинской помощи взрослым при острых кишечных инфекциях (ОКИ) 
(диагностика, лечение и диспансерное наблюдение)",Минздрав России,,,170854,,,,,1,2,draft | discussion,2026-09-04T15:47:28.665Z,2026-09-19T15:47:28.678Z,Текст,"Публичное обсуждение: Об утверждении стандарта медицинской помощи взрослым при острых кишечных инфекциях (ОКИ) 
(диагностика, лечение и диспансерное наблюдение)",https://regulation.gov.ru/projects/170854/
npa_regulation_project_170851,"О внесении изменений в Порядок проведения конкурса по распределению контрольных цифр приема по специальностям и направлениям подготовки и (или) укрупненным группам специальностей и направлений подготовки для обучения по образовательным программам высшего образования, а также по группам научных специальностей и (или) научным специальностям для обучения по программам подготовки научных и научно-педагогических кадров в аспирантуре (адъюнктуре) за счет бюджетных ассигнований федерального бюджета, утвержденный приказом Министерства науки и высшего образования Российской Федерации от 28 августа 2023 г. № 824",Минобрнауки России,,,170851,,,,,1,2,draft | discussion,2026-09-04T15:00:52.908Z,2026-09-19T15:00:52.92Z,Текст,"Публичное обсуждение: О внесении изменений в Порядок проведения конкурса по распределению контрольных цифр приема по специальностям и направлениям подготовки и (или) укрупненным группам специальностей и направлений подготовки для обучения по образовательным программам высшего образования, а также по группам научных специальностей и (или) научным специальностям для обучения по программам подготовки научных и научно-педагогических кадров в аспирантуре (адъюнктуре) за счет бюджетных ассигнований федерального бюджета, утвержденный приказом Министерства науки и высшего образования Российской Федерации от 28 августа 2023 г. № 824",https://regulation.gov.ru/projects/170851/
