model,dataset,source,title_original,title,link,category,importance,relevance_to_company,who,what,when,consequences,description,company_impact,tags,document_type,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,cost_usd,latency_ms
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Постановление Правительства № 1937 от 28.11.2025 — новые правила реестра российского ПО (совместимость с доверенными ОС),Правительство вводит обязательную совместимость ПО в Единый реестр с доверенными российскими ОС,https://www.pgplaw.ru/analytics-and-brochures/alerts/pravila-vedeniya-reestra-rossiyskogo-po/,Регулирование,Высокий,high,Правительство РФ,Обязательная совместимость ПО с доверенными ОС,Действует с 1 марта 2026 г.; полные требования с 1 сентября 2026 г.,"Новые требования влияют на процесс регистрации, тестирования и сертификации программного обеспечения, а также на конкурентоспособность в государственных закупках.","С 1 сентября 2026 г. все программы, включённые в Единый реестр российского ПО, должны быть совместимы минимум с двумя доверенными российскими операционными системами. Поэтапные требования распространяются на офисное, серверное, прикладное, промышленное ПО и средства ИБ. Ежегодное обновление сведений до 1 июня и отметка о доверенном ПО дают преимущество в госзакупках по 44‑ФЗ/223‑ФЗ.","Обязательная совместимость с доверенными ОС напрямую затрагивает разработку, сертификацию и регистрацию продуктов GS Labs в Едином реестре, а также их конкурентоспособность в госзакупках по 44‑ФЗ/223‑ФЗ.",регулирование; реестр; доверенные ОС; госзакупки,regulation,1104,805,468,1909,0.00014635,14604
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Обсуждается переход к ОБЯЗАТЕЛЬНОЙ маркировке ИИ-контента (поправки рабочей группы Совета по кодификации),"Введена обязательная маркировка аудиовизуального контента, созданного большими ИИ‑моделями",GR-дайджест 12–20.08.2026 (Телеспутник),Регулирование,Высокий,high,Рабочая группа Совета при Президенте по кодификации,"Обязательная маркировка аудиовизуального контента, созданного большими ИИ‑моделями",12–20.08.2026; финальные предложения — конец сентября 2026,"Требуется внедрить механизм маркировки в платформы, которые обрабатывают или распространяют такой контент. Порог использования ИИ и ответственность будут уточнены в подзаконных актах.","Рабочая группа Совета по кодификации подготовила проект поправок к закону об ИИ и Гражданскому кодексу РФ, предусматривающих обязательную маркировку аудиовизуального контента, созданного большими ИИ‑моделями, вместо текущей добровольной схемы.","GS Labs, как разработчик OTT‑платформ и решений для защиты контента, может потребоваться обновить свои продукты (DREAMPlatform, EPG DREGUIDE, CAS DRECRYPT) для поддержки обязательной маркировки ИИ‑генерируемого контента.",регулирование; ИИ; маркировка; контент; права,regulation,1123,643,226,1766,0.00012262,9482
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,"Аудитория онлайн-кинотеатров превысила 72 млн подписчиков (TelecomDaily, II кв. 2026)","В России более 72 млн пользователей подписались на онлайн‑кинотеатры, рынок легальных видеосервисов вырос на 29,2 % до 220,1 млрд ₽",https://telecomdaily.ru/news/2026/08/05/iaa-telecomdaily-chislo-podpischikov-ok-v-rossii-prevysilo-72-mln,Регулирование,Низкий,noise,Телеком‑операторы и онлайн‑кинотеатры,Рост аудитории и объёма рынка легальных видеосервисов,05–06 авг 2026,"Увеличение спроса на услуги OTT и CAS/DRM‑решения, но без прямого упоминания GS Labs","По итогам второго квартала 2026 г. 72 млн пользователей в России подписались на девять ведущих онлайн‑кинотеатров, а рынок легальных видеосервисов в 2025 г. вырос на 29,2 % до 220,1 млрд ₽.","В статье не упоминается GS Labs и его продукты, поэтому информация не оказывает прямого влияния на компанию.",рынок; OTT; видеосервисы,news,1022,924,586,1946,0.00016862,17034
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Предложение Ассоциации больших данных: обработка ПД с применением PETs без согласий для обучения ИИ (институт доверенного посредника),Ассоциация больших данных предложила Минцифры разрешить обработку персональных данных без согласия для обучения ИИ с использованием PETs и доверенного посредника,https://www.kommersant.ru/doc/8863449,Регулирование,Низкий,low,Ассоциация больших данных,Предложение о разрешении обработки персональных данных без согласия для обучения ИИ,03.08.2026,"Возможное изменение правил обработки персональных данных, что может повлиять на компании, работающие с ИИ и персональными данными.","Ассоциация больших данных (Авито, Сбер, Ростелеком, Яндекс, HH, VK) направила письмо Минцифры с предложением разрешить обработку персональных данных без согласия субъектов для обучения ИИ-моделей при условии применения технологий конфиденциальных вычислений (PETs) и участия доверенного посредника.","Поскольку GS Labs не занимается обработкой персональных данных для обучения ИИ, данное регулирование не оказывает прямого влияния на компанию.",регулирование; данные; ИИ; PETs; доверенный посредник,announcement,1031,877,636,1908,0.00015496,15836
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Разглашение КТ через ИИ-сервисы (судебная практика),Суд признал загрузку рабочих данных в публичные ИИ‑сервисы разглашением коммерческой тайны,https://mos-gorsud.ru/rs/babushkinskij/services/cases/civil/details/73,Регулирование,Средний,high,Судебная практика,Разглашение коммерческой тайны через публичные ИИ‑сервисы,2026,"Возможные юридические ограничения на использование публичных ИИ‑сервисов для обработки рабочих данных, штрафы и требования по защите информации.","В 2026 году суд постановил, что передача рабочих данных, включая агрегированные отчёты, в публичные ИИ‑сервисы считается разглашением коммерческой тайны, даже если фактической утечки данных не доказано.","Возможные ограничения на использование публичных ИИ‑сервисов для обработки рабочих данных, что может повлиять на процессы разработки и тестирования продуктов GS Labs.",AI; коммерческая тайна; право; конфиденциальность,news,944,806,552,1750,0.0001417,12787
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Налоговые льготы и поддержка для ИИ и ИТ-отрасли,"Правительство обсуждает налоговые льготы для компаний, разрабатывающих и применяющих ИИ",https://www.interfax.ru/business/1103270,Регулирование,Средний,medium,Правительство РФ,Налоговые льготы и поддержка для ИИ и ИТ‑отрасли,Анонс (обсуждение пакета),"Снижение налоговой нагрузки на компании, работающие с ИИ","Пакет предусматривает повышенные коэффициенты к затратам на разработку и применение ИИ, спецамортизацию ОС для ИИ, льготный НДС на услуги разработки ИИ и удалённого доступа к ИИ‑платформам, а также расширение ИТ‑льгот для компаний, внедряющих ИИ.","Пакет может снизить расходы на разработку ИИ, что коснётся компаний, внедряющих ИИ в свои решения, включая GS Labs, если они используют ИИ.",налог; ИИ; ИТ; регулирование,announcement,973,750,513,1723,0.00013417,12709
openai/gpt-oss-20b,annotated_openai_gpt-oss-20b.json,Excel / GS Labs,Кризис рынка ЦОД,Дефицит мощностей дата‑центров в Москве и Санкт-Петербурге приводит к росту стоимости стоек 5 кВт и ограничению ёмкости для ИИ‑приложений,https://telesputnik.ru/materials/trends/news/rossiiskii-rynok-cod-stol,Технологии,Средний,medium,Рынок дата‑центров России,Рост цен и ограничение доступных мощностей,06.08.2026 (данные II кв. 2026),Увеличение затрат на размещение сервисов и возможные задержки в масштабировании ИИ‑приложений,"В 2‑м квартале 2026 года в Москве и СПб наблюдается дефицит мощностей дата‑центров: сроки подключения 2–5 лет, рост цен на стойки 5 кВт (Москва + 15,7 %, СПб + 31,3 %) и сокращение ёмкости для стоек 15–20 кВт, что ограничивает возможности размещения ИИ‑приложений.","Сокращение доступных мощностей ЦОД может затруднить размещение и масштабирование сервисов GS Labs, но не напрямую связано с продуктами компании.",дата‑центры; рынок; цены; ИИ,news,1013,966,642,1979,0.00016777,14848
openai/gpt-oss-120b,excel_annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Постановление Правительства № 1937 от 28.11.2025 — новые правила реестра российского ПО (совместимость с доверенными ОС),Постановление Правительства № 1937 от 28.11.2025 ввело обязательную совместимость программного обеспечения из реестра с доверенными российскими ОС,https://www.pgplaw.ru/analytics-and-brochures/alerts/pravila-vedeniya-reestra-rossiyskogo-po/,Регулирование,Высокий,high,Правительство РФ,"Установило обязательную совместимость программного обеспечения, включённого в Единый реестр российского ПО, с доверенными российскими операционными системами",Действует с 01.03.2026; поэтапные требования с 01.09.2026,"Необходимость подтверждения совместимости продуктов с указанными ОС, обновление данных в реестре, возможность получения преимущества в государственных закупках","С 01.03.2026 в реестр российского ПО включено требование совместимости с минимум двумя доверенными российскими операционными системами; сроки поэтапного расширения перечня совместимых типов ПО – офисное (01.09.2026), серверное и др. (01.01.2027), прикладное и отраслевое (01.06.2027), промышленное (01.01.2028). Ежегодное обновление сведений до 1 июня. Отметка о доверенном ПО будет преимуществом при государственных закупках (44‑ФЗ, 223‑ФЗ).","Требования к совместимости с доверенными ОС потребуют адаптации и подтверждения соответствия продуктов GS Labs, что напрямую влияет на их статус в реестре и конкурентоспособность в государственных закупках.",реестр российского ПО; совместимость ОС; госзакупки; регулирование,regulation,1104,873,490,1977,0.00018153,19587
openai/gpt-oss-120b,excel_annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Предложение Ассоциации больших данных: обработка ПД с применением PETs без согласий для обучения ИИ (институт доверенного посредника),Ассоциация больших данных просит Минцифры разрешить обработку персональных данных без согласий для обучения ИИ при использовании PETs,https://www.kommersant.ru/doc/8863449,Регулирование,Низкий,low,"Ассоциация больших данных (Авито, Сбер, Ростелеком, Яндекс, HH, VK)",Предложение изменить правила обработки персональных данных для обучения ИИ,"03.08.2026 (письмо в Минцифры, обсуждение)","Если будет принято, изменятся требования к обработке персональных данных в России, что может упростить сбор данных для обучения суверенных ИИ‑моделей.","Ассоциация больших данных (Авито, Сбер, Ростелеком, Яндекс, HH, VK) направила в Минцифры письмо с предложением разрешить обработку персональных данных без согласий субъектов для обучения ИИ‑моделей при условии применения технологий конфиденциальных вычислений (PETs) и участия доверенного посредника.","Регулирование касается обработки персональных данных для обучения ИИ и не относится к продуктам GS Labs (цифровое ТВ, OTT, DRM), поэтому прямого влияния на компанию нет.",персональные данные; ИИ; регулирование; PETs; Минцифры,news,1031,818,480,1849,0.00016999,19568
openai/gpt-oss-120b,excel_annotated_openai_gpt-oss-120b.json,Excel / GS Labs,Налоговые льготы и поддержка для ИИ и ИТ-отрасли,"Обсуждается пакет налоговых льгот для компаний, разрабатывающих и применяющих искусственный интеллект",https://www.interfax.ru/business/1103270,Регулирование,Средний,low,Правительство РФ (Минэкономразвития) – инициатор пакета,"Налоговые льготы и специальные режимы для расходов, связанных с ИИ",Этап обсуждения (анонс),"При принятии пакета компании, инвестирующие в ИИ, получат финансовые преимущества; возможное снижение налоговой нагрузки.","В правительстве рассматривают меры поддержки ИИ: повышенные коэффициенты к затратам, спецамортизация оборудования, льготный НДС на услуги разработки и удалённого доступа, расширение ИТ‑льгот для компаний, внедряющих ИИ.","Пакет касается налоговых льгот для ИИ‑проектов; у GS Labs нет заявленных ИИ‑продуктов, поэтому прямого влияния на продукты, реестр или операционную деятельность нет.",налоги; искусственный интеллект; льготы; ИТ‑сектор; спецамортизация,announcement,973,785,461,1758,0.00016264,23129
